,sizes_3D,hd_mean_3D_purePython_GPU,dice_mean_3D_purePython_GPU,hd_std_3D_purePython_GPU,dice_std_3D_purePython_GPU
0,1,96998.2109375,107947.203125,295970.125,310257.71875
1,1331,86003.9921875,111444.796875,280379.875,310923.5
2,9261,82004.40625,121999.40625,274383.09375,330330.625
3,29791,85008.3046875,109064.8984375,278919.96875,311852.6875
4,68921,93040.796875,109955.390625,290579.0,315254.5625
5,132651,103955.0859375,111901.9140625,305147.71875,315152.875
6,226981,113006.4921875,109955.6953125,316613.34375,312788.5625
7,357911,95001.796875,104984.90625,293222.625,306518.46875
8,531441,130797.09375,129991.90625,494429.84375,529410.0625
9,753571,187000.6875,176223.890625,1119305.0,819978.25
10,1030301,246995.296875,232222.984375,1423723.625,1134274.125
11,1367631,331980.46875,293075.71875,1781748.5,1456208.125
12,1771561,412990.53125,382305.0,2151536.25,1764755.625
13,2248091,523109.1875,474789.5,2453904.0,2139123.25
14,2803221,643165.9375,574504.9375,2743220.0,2294326.25
15,3442951,788069.125,695762.8125,3101007.75,2704427.75
16,4173281,959140.4375,833502.3125,3470048.25,2913134.25
17,5000211,1145243.875,990870.0625,3858685.0,3328735.75
18,5929741,1355144.625,1167567.5,4163730.25,3402055.5
19,6967871,1594116.75,1361618.75,4665155.0,3889210.5
20,8120601,1854443.375,1579909.625,5147811.0,4277227.5
21,9393931,2130282.0,1828506.625,5428596.0,4366384.5
22,10793861,2480370.5,2127152.75,5752908.0,4985578.0
23,12326391,2929069.25,2379686.5,6264854.5,4910467.5
24,13997521,3377159.75,2699978.0,8723763.0,5283437.0
25,15813251,3721752.0,3051870.75,9199978.0,5902219.0
26,17779581,4103534.75,3429058.0,9703745.0,6168669.0
27,19902511,4390421.5,3816037.0,9546452.0,6554304.5
28,22188041,5065337.5,4266534.5,10845151.0,6740114.0
29,24642171,5614316.0,4713121.0,12549457.0,7009180.0
30,27270901,6239906.0,5215916.5,14049064.0,7399003.5
31,30080231,6802973.5,5765469.5,15313405.0,7428399.0
32,33076161,7553433.0,6326501.5,15723782.0,7713302.5
33,36264691,8180952.0,6937651.0,18373734.0,7719042.5
34,39651821,8976485.0,7566495.5,19405436.0,8143651.5
35,43243551,9768183.0,8259045.0,21688874.0,8792118.0
36,47045881,10582921.0,8991306.0,23552532.0,8492628.0
37,51064811,11646745.0,9743576.0,23764868.0,9199328.0
38,55306341,12460771.0,10546435.0,26867774.0,10357187.0
39,59776471,13489598.0,11409174.0,30046652.0,10628914.0
40,64481201,14557762.0,12292246.0,32287762.0,11977768.0
41,69426531,15695314.0,13243045.0,34104384.0,13283501.0
42,74618461,16828522.0,14219117.0,37216532.0,13342142.0
43,80062991,18142078.0,15253018.0,36860016.0,14922755.0
44,85766121,19279170.0,16343783.0,42775084.0,14593635.0
45,91733851,20685072.0,17446474.0,44549028.0,16900900.0
46,97972181,22091792.0,18637532.0,47716128.0,17345768.0
47,104487111,23577690.0,19894512.0,52226808.0,17381278.0
48,111284641,25144590.0,21170422.0,51010580.0,19178920.0
49,118370771,26751838.0,22527968.0,56872932.0,21038022.0
50,125751501,28248020.0,23940614.0,62803912.0,21380538.0
