,sizes_3D,dt_min_cpu_3D,dt_std_cpu_3D
0,1,0.0,140066.703125
1,1331,0.0,327431.75
2,9261,0.0,427194.3125
3,29791,1065500.0,507439.15625
4,68921,4968500.0,625479.375
5,132651,0.0,1259212.875
6,226981,20952200.0,877056.0
7,357911,24121500.0,2190054.5
8,531441,41304400.0,2949826.25
9,753571,60571700.0,5172762.0
10,1030301,97340600.0,4384651.5
11,1367631,143241696.0,16812128.0
12,1771561,189181600.0,8146110.5
13,2248091,240764704.0,9135003.0
14,2803221,281302400.0,29397920.0
15,3442951,354637504.0,30150718.0
16,4173281,446541184.0,19175990.0
17,5000211,575225984.0,37060364.0
18,5929741,688033600.0,52774476.0
19,6967871,829462080.0,46022160.0
20,8120601,932305920.0,58841808.0
21,9393931,1168388480.0,59655888.0
22,10793861,1352644480.0,107410440.0
23,12326391,1579414144.0,97689264.0
24,13997521,1826463360.0,84573448.0
25,15813251,2110703744.0,115150168.0
26,17779581,2408638720.0,114944856.0
27,19902511,2667721984.0,137432816.0
28,22188041,3050349824.0,129057424.0
29,24642171,3441687552.0,136330128.0
30,27270901,3831839232.0,134145472.0
31,30080231,4227347456.0,163896704.0
32,33076161,4779092992.0,200340144.0
33,36264691,5108312064.0,165188208.0
34,39651821,5613245440.0,187440880.0
35,43243551,6282907136.0,207298112.0
36,47045881,6774525952.0,211024704.0
37,51064811,7169568256.0,259907328.0
38,55306341,7878992384.0,280178912.0
39,59776471,8514580992.0,252801344.0
40,64481201,9267921920.0,381986464.0
41,69426531,10024404992.0,429626400.0
42,74618461,10872107008.0,353029344.0
43,80062991,11705878528.0,553607872.0
44,85766121,12788524032.0,440516352.0
45,91733851,13716872192.0,457297632.0
46,97972181,14773606400.0,510882848.0
47,104487111,15652343808.0,434429152.0
48,111284641,16944318464.0,533389088.0
49,118370771,18030962688.0,530118016.0
50,125751501,19655770112.0,590573888.0
