,sizes_3D,dt_mean_cpu_3D,dt_std_cpu_3D
0,2,26760.099609375,163065.953125
1,8,127031.1953125,333105.46875
2,22,841382.0,602047.9375
3,28,2618172.5,598040.0625
4,42,6104782.5,1011401.375
5,48,13123226.0,1185955.25
6,62,22748880.0,1478651.375
7,68,36313680.0,2067771.25
8,82,54667696.0,2868733.0
9,88,78916728.0,3792395.5
10,102,106750512.0,9840408.0
11,108,148297456.0,14973294.0
12,122,189233040.0,18782458.0
13,128,234902976.0,10200701.0
14,142,307774688.0,27028760.0
15,148,379587776.0,25667500.0
16,162,472702048.0,27797464.0
17,168,583791232.0,42323348.0
18,182,696182336.0,45190124.0
19,188,867677056.0,77407688.0
20,202,1025936576.0,92874544.0
21,208,1191370880.0,104880520.0
22,222,1409435648.0,155525696.0
23,228,1623630336.0,139312384.0
24,242,1871086080.0,154195024.0
25,248,2151601408.0,163278528.0
26,262,2431347456.0,179370032.0
27,268,2729645056.0,172435536.0
28,282,3115474944.0,236753168.0
29,288,3500923136.0,252044112.0
30,302,3896320000.0,276864352.0
31,308,4302915584.0,261891136.0
32,322,4860637184.0,323321312.0
33,328,5217633280.0,340098912.0
34,342,5750024704.0,365738752.0
35,348,6394672640.0,401870048.0
36,362,6868072960.0,420290624.0
37,368,7533234688.0,450165472.0
38,382,8235376640.0,474878656.0
39,388,8972656640.0,587779392.0
40,402,9730322432.0,522213600.0
41,408,10511610880.0,579610048.0
42,422,11369180160.0,590587904.0
43,428,12274830336.0,609755008.0
44,442,13409948672.0,759360256.0
45,448,14298335232.0,716313344.0
46,462,15434638336.0,814202688.0
47,468,16352892928.0,779633984.0
48,482,17852442624.0,847028672.0
49,488,18980001792.0,959459584.0
50,502,20699682816.0,1191230336.0
