,sizes_3D,hd_mean_3D_purePython,dice_mean_3D_purePython,hd_std_3D_purePython,dice_std_3D_purePython
0,2,53501.19921875,51611.0,224290.984375,710985.9375
1,8,58994.0,50005.8984375,235601.90625,525128.3125
2,22,124346.1953125,75657.296875,329303.0,545744.3125
3,28,256035.578125,144806.890625,436364.78125,761727.3125
4,42,319997.5,187448.890625,468621.46875,1138046.375
5,48,2781463.75,415986.25,1163118.25,1687106.875
6,62,4266783.5,605773.75,1457425.25,1831208.625
7,68,5864486.0,1994879.25,1417733.625,3779748.75
8,82,7991246.0,2491981.5,1491838.375,4291876.0
9,88,7817812.0,3329551.0,1190639.5,4750719.5
10,102,11029174.0,4172084.75,1480869.25,5447386.5
11,108,17411380.0,5617029.0,2342397.0,6332244.0
12,122,21627242.0,7338232.0,2540113.75,6526426.0
13,128,26650680.0,10212688.0,2765886.5,7824633.0
14,142,33644872.0,13421660.0,2832461.75,8654688.0
15,148,42015224.0,18372742.0,2733869.25,8257598.0
16,162,49895352.0,22175524.0,2483469.0,8275452.5
17,168,64410820.0,27106530.0,4564022.5,7728252.5
18,182,71451408.0,32107148.0,3662995.0,6079531.0
19,188,82667200.0,37390292.0,3834777.25,7014825.5
20,202,99908552.0,43909844.0,6225207.5,8895510.0
21,208,111963704.0,54337224.0,4335287.5,8477243.0
22,222,129095528.0,59020932.0,4893978.5,7454583.0
23,228,152460096.0,68192328.0,8063262.0,7665530.0
24,242,166780992.0,76536112.0,5496899.5,9165422.0
25,248,191690544.0,89349328.0,12812561.0,9189125.0
26,262,206474480.0,95678448.0,10566487.0,7492014.0
27,268,232338032.0,109273712.0,10741772.0,9906056.0
28,282,267190416.0,124649480.0,14617994.0,10936977.0
29,288,289756928.0,136639392.0,14612938.0,16155869.0
30,302,326722528.0,151424592.0,15548846.0,10897072.0
31,308,356205920.0,161869936.0,16636026.0,11159508.0
32,322,396672064.0,180394448.0,20635410.0,12716001.0
33,328,428887360.0,197227024.0,17640186.0,11854760.0
34,342,473088704.0,216403696.0,21786132.0,13989025.0
35,348,507737728.0,236344336.0,20407518.0,15307358.0
36,362,555037888.0,250472768.0,23859848.0,13448784.0
37,368,602973760.0,276177216.0,24155438.0,14006077.0
38,382,653474880.0,301316192.0,26650950.0,18384224.0
39,388,702301952.0,327293472.0,25388038.0,20618988.0
40,402,758911872.0,359127904.0,29763950.0,22865924.0
41,408,808277312.0,377786976.0,27475890.0,17942470.0
42,422,867462144.0,415718592.0,32157940.0,24054162.0
43,428,934990464.0,444502944.0,44092480.0,29637628.0
44,442,991374784.0,464736736.0,34038852.0,21681038.0
45,448,1054474624.0,499678176.0,41040688.0,29733300.0
46,462,1134253440.0,536790688.0,47193292.0,30719122.0
47,468,1205611776.0,570992896.0,44388884.0,33763324.0
48,482,1295447552.0,602180672.0,64559784.0,30593632.0
49,488,1351729792.0,646174528.0,51540456.0,32319590.0
50,502,1422892160.0,678317184.0,50656836.0,35227388.0
