sizes_2D,maurer_minimum_2D,maurer_std_2D,felzenszwalb_threaded_minimum_2D_depth,felzenszwalb_threaded_std_2D_depth,felzenszwalb_gpu_minimum_2D,felzenszwalb_gpu_std_2D,wenbo_threaded_minimum_2D,wenbo_threaded_std_2D,wenbo_gpu_minimum_2D,wenbo_gpu_std_2D
1.0,171.22708039492244,977.8551614106249,116.08315098468272,278.2878697062836,144100.0,336575.18018071936,16700.0,10499.253400318348,8300.0,5442.076154271171
121.0,2055.5555555555557,20362.302600618616,42800.0,190695.34727608564,206300.0,598811.316927429,14000.0,11471.202626428047,8500.0,5607.376980127135
441.0,6740.0,62802.10761321972,86500.0,351880.9285513344,251800.0,457400.284559783,21300.0,32149.324419545133,8600.0,5447.967793159896
1024.0,26500.0,317759.8701240547,63700.0,394609.0697858017,481600.0,504014.70490160416,20300.0,11825.934498477332,8800.0,142331.07800266144
1764.0,30600.0,280139.2273949875,105500.0,245552.50518080583,224500.0,541166.0609351145,22300.0,406524.24709862884,8700.0,5320.7364978250835
2704.0,38800.0,1.0054468947439701e6,89100.0,579658.9161136753,230600.0,472053.02822592086,23300.0,361759.05136850115,8700.0,5138.146844223049
3844.0,47800.0,1.0774378126361337e6,119900.0,366357.76079380047,220900.0,568824.2236122123,25700.0,337295.94251877896,8900.0,5603.051051526177
5184.0,72800.0,795475.0849968622,104700.0,854709.529740909,275700.0,664166.0958191451,25600.0,287095.60523589444,9000.0,5944.21242531218
6724.0,73000.0,599251.0941450086,96200.0,221620.7830324983,316200.0,448807.5175672272,38700.0,240334.77012039974,8900.0,5488.994167067099
8649.0,89400.0,570177.8130049917,155900.0,796022.0597455014,441800.0,449766.62884690234,41200.0,276631.41470982094,10500.0,6339.131364678118
10609.0,97100.0,495978.33400467975,121600.0,518092.6312992543,465700.0,445182.3149180556,55100.0,301930.9542554576,8700.0,6330.070435214088
12769.0,103300.0,477699.1921500226,126000.0,361537.47023399913,530800.0,457751.24577634374,64700.0,297444.9046558172,8900.0,5262.083247907696
15129.0,116200.0,371659.16423063993,155900.0,490336.97123467166,560900.0,805150.1987049839,73200.0,276457.03593265504,9000.0,5345.083604760003
17689.0,127800.0,499237.31250030064,157300.0,533565.6549053638,619900.0,411231.53611483704,81000.0,423164.60608064086,8800.0,3394.0367628614104
20736.0,137400.0,487453.2668212572,148300.0,452900.2170909615,676200.0,410979.9094435936,56500.0,272396.60092755716,8800.0,47083.361299651624
23716.0,152100.0,471278.50352078583,196300.0,565404.4062651288,852600.0,392205.082362309,92100.0,262530.83462481137,8700.0,115801.22568568357
26896.0,168300.0,489286.1510160869,205600.0,399614.0168380904,840600.0,854788.0902407276,98300.0,263652.98874344473,8700.0,108853.24147715404
30276.0,185000.0,510295.7426553144,272100.0,834909.9912316239,945900.0,367066.5862523257,109100.0,232061.0756865598,8800.0,133894.85995896146
33856.0,196500.0,586740.2115152021,245500.0,727708.3983238804,1.0491e6,652125.4592157728,93700.0,277126.3578101642,9000.0,152105.0594363086
