sizes_loss_3D,dice_mean_3D,dice_std_3D,dice_mean_gpu_3D,dice_std_gpu_3D,hausdorff_mean_3D,hausdorff_std_3D,hausdorff_mean_gpu_3D,hausdorff_std_gpu_3D
1.0,307.9047167325428,2729.83989029213,222.91982570806098,1641.5794690481432,139.33412371134023,30.01532004189127,111176.98,25633.792329862576
1331.0,398.76178018575854,3294.36979487499,425.82001818181817,3641.075274780071,4375.505555555556,2840.549037131061,144087.75,74509.23014952743
9261.0,1442.09149122807,12669.14527011947,1430.9085398230086,12709.478093990258,37125.23,12340.72274183644,137115.11,47668.96839394235
32768.0,6635.081,176967.64011162633,5136.925,145160.7528470803,155045.91,1.73536583143041e6,152604.62,50794.22386426823
74088.0,11297.743333333334,206573.20184610382,12124.308,234390.91603932373,231767.87,1.3357820091438033e6,142165.33,50350.67872507688
140608.0,19639.651428571426,263648.94640088134,20333.284285714286,283671.2675718823,423345.38,1.6582548100657407e6,113671.23,21030.09352738301
238328.0,51930.57,20617.46226988533,57282.12,22206.35522833166,724216.8748184723,1.890928406422699e6,115419.0,39210.697607677015
373248.0,111302.57,2.7588297306910204e6,114029.23,2.4047181852524127e6,1.0622860098101941e6,2.883759633163025e6,154359.26,517732.88348927285
551368.0,159569.07,3.6678694013632606e6,151309.53,2.4984978463759013e6,1.5711986097946288e6,3.5726234052938875e6,220251.71,340383.7058582522
804357.0,207472.45,3.7296284217748092e6,208636.97,3.623255336547178e6,2.248957059088859e6,4.1529635817249333e6,330200.21,348311.51284152776
1.092727e6,239403.55,3.2294251310665365e6,258106.38,3.868638602331168e6,3.0819835396039602e6,4.795192525587503e6,468859.77,1.1195473577616871e6
1.442897e6,270550.95,3.5077760900132805e6,258996.28,3.004767758837044e6,4.1094775308641978e6,5.592828330943488e6,435251.28,384591.4431915758
1.860867e6,286330.11,3.0208289087384557e6,278800.12,2.6116042111498355e6,5.190225051975052e6,6.189336730801528e6,519649.03117101936,548869.420545556
2.352637e6,312274.75,2.979484654021866e6,285661.39,2.6095513370187427e6,6.590983905013192e6,7.096403957460094e6,628597.4515024724,495076.7936572083
2.985984e6,385081.5,3.0436111625916753e6,365172.01,2.92138231018054e6,8.42962956081081e6,8.02629013854108e6,984762.5595238095,1.9318966916295984e6
3.652264e6,402340.47,2.495732324670021e6,604311.2411606925,4.1659207103167735e6,1.0383258004158003e7,8.970881546127412e6,3.0960383374689827e6,4.347537064442138e6
4.410944e6,675052.2123893806,4.109527603275947e6,533688.2289764794,3.2579070135944188e6,1.7454298620689657e7,1.247893866716323e7,1.074703330449827e6,265663.53133543953
5.268024e6,572768.4828936758,2.8621572841107324e6,584541.4341222183,3.0037777704519983e6,1.4702874411764706e7,1.0648617487160875e7,1.237723032868526e6,528303.6792548266
6.229504e6,656996.142668428,2.96693981690462e6,691357.0892410342,3.197005274988297e6,1.7207992413793102e7,1.1431268704230338e7,1.4782102884329467e6,1.2517508291326952e6
7.301384e6,807747.992877954,3.2184710326263565e6,812171.1984536082,3.279689049014101e6,2.0222563967611335e7,1.2636919236064553e7,1.6080655451310256e6,787486.3431703383
8.615125e6,924312.2195438532,4.717147157354786e6,888353.1573314306,4.613536313571415e6,2.387435142857143e7,1.3787104677285008e7,1.8347622926649465e6,698408.7881769915
9.938375e6,1.061312063086104e6,5.199484244108027e6,1.0586549223899639e6,5.2025168526965035e6,2.785207e7,1.592697226123172e7,2.041916735028712e6,525103.002427598
1.1390625e7,1.2297614656636738e6,5.667627195268217e6,1.2015015169756801e6,5.407659803085406e6,3.1868594267515924e7,1.6252988200336806e7,2.367276509747979e6,798505.7367168594
1.2977875e7,1.424492989985694e6,6.076796533577805e6,1.4077662333992652e6,6.012566477121216e6,3.645602246376812e7,1.8118869364425365e7,2.7286636313768514e6,710682.8174232572
1.4706125e7,1.595501152737752e6,6.447881126105847e6,1.6173712293220889e6,6.607647075500715e6,4.119198536585366e7,1.9746760743489135e7,3.1872796414852752e6,2.2353674567985237e6
1.6777216e7,1.8397061299852289e6,7.201834303455004e6,1.8591191544117648e6,7.19653035295413e6,4.599298440366972e7,1.8763963474965706e7,3.4850645658263303e6,864338.8502084697
1.8821096e7,2.0343866421568627e6,7.206499470744184e6,2.0564702602230483e6,7.448264392519055e6,5.395572688172043e7,2.3173822087419637e7,4.0605083333333335e6,2.0110976516836577e6
2.1024576e7,2.3768764677804294e6,8.051444496986629e6,2.388173860911271e6,8.313027216771159e6,5.8431276744186044e7,2.287650809609602e7,4.1454274542429284e6,1.4403394363141768e6
2.3393656e7,3.3132381416504225e6,1.0912949725721825e7,3.1949232005141387e6,1.0486251858270522e7,9.731830192307693e7,3.1810751188574106e7,5.73173676975945e6,4.517255140154213e6
2.5934336e7,3.0525329245861433e6,9.478809264595957e6,2.925453877082137e6,9.222117398341078e6,7.28597811594203e7,2.5111769199434537e7,5.26643037037037e6,1.5758989533480657e6
2.8652616e7,3.209878406169666e6,9.383875423534138e6,3.242976953125e6,9.745496813256951e6,8.036422063492064e7,2.686079915035171e7,5.75590161849711e6,1.2292557743490678e6
3.1855013e7,3.596263104693141e6,9.91386060999575e6,3.606432199710564e6,1.012972835736274e7,8.815215438596492e7,2.873115062536076e7,6.425476227390181e6,1.9420622749531893e6
3.4965783e7,4.042634930950447e6,1.0412199101893017e7,3.9745521496815286e6,1.0506566493197454e7,9.734827307692307e7,3.1160110291028578e7,6.8485876203576345e6,1.19711711531513e6
3.8272753e7,4.34625200341006e6,1.1058950291306442e7,4.342086411149826e6,1.10216720434261e7,1.0714818958333333e8,3.375795738968712e7,7.464245658682635e6,1.9487650783152096e6
4.1781923e7,4.807565543792108e6,1.187659758748094e7,4.733899146110057e6,1.1494179991135199e7,1.1697047272727273e8,3.649231484960217e7,8.014770096463023e6,1.4632189653698541e6
4.5499293e7,5.228794025157233e6,1.2344568481250584e7,5.21102131661442e6,1.2456153354216984e7,1.234501243902439e8,3.197551646764115e7,8.689065505226482e6,1.871269081912919e6
4.9430863e7,5.740676870748299e6,1.3116073762584154e7,5.706447072072072e6,1.3384669774428459e7,1.359745054054054e8,3.665553754787752e7,9.348925328330206e6,561036.5852063274
5.4010152e7,6.085985243902439e6,1.3180459677981477e7,6.03895387409201e6,1.3480564094039021e7,1.4836836470588234e8,3.786375980319266e7,1.013467743902439e7,2.3919796070044152e6
5.8411072e7,6.780478396739131e6,1.4613035413909463e7,6.987669327731092e6,1.4729436825682262e7,1.6164769032258064e8,4.324146543435174e7,1.0854694577006508e7,905025.7476957585
6.3044792e7,7.216697976878612e6,1.5044922435937725e7,7.616528702290077e6,1.5460611277545016e7,1.7345891724137932e8,4.108777454825105e7,1.1639221077283373e7,670117.2070249722
6.7917312e7,8.898882174688056e6,1.7803144622206986e7,9.64844912959381e6,1.987973278080628e7,2.457901380952381e8,4.898740839218254e7,1.4567122093023255e7,8.210876270234995e6
7.3034632e7,8.633026297577854e6,1.7051712071568698e7,8.457517627118643e6,1.634257418375408e7,2.0683486e8,4.028282098842921e7,1.3479143935309973e7,3.040133048543806e6
7.8953589e7,1.0438856784968685e7,2.806497871287023e6,1.0277348971193416e7,2.7737016363951634e6,2.208804043478261e8,7.899362928367777e6,1.4513432558139535e7,2.704695526757971e6
8.4604519e7,1.0961652631578946e7,2.985687879316315e6,1.1096670222222222e7,2.94685088900111e6,2.369235590909091e8,7.810901283929682e6,1.5321691384615384e7,2.176198788844328e6
9.0518849e7,1.1727849530516433e7,3.116614104518256e6,1.1674328271028038e7,2.9532418608828858e6,2.5527793e8,1.2249261232507475e7,1.6237913636363637e7,612593.5982535741
9.6702579e7,1.2700299746192893e7,2.5747796632083263e6,1.2612816708860759e7,2.5657672343348092e6,2.721333421052632e8,1.1463391873763278e7,1.7418616724738676e7,2.755460854236509e6
1.03161709e8,1.3378096256684491e7,2.7243149574204073e6,1.3645285519125683e7,2.7256482456564354e6,2.879450833333333e8,8.098546281477639e6,1.832271911764706e7,453587.96191076597
1.09902239e8,1.4271054857142856e7,2.8761113147848863e6,1.4224923295454545e7,2.8066957035918925e6,3.0736908235294116e8,1.1355392153082786e7,1.9444982490272373e7,362029.5289191191
1.17649e8,1.5378271692307692e7,2.979482772921245e6,1.5482631578947369e7,3.1035297303851894e6,3.27214725e8,1.0467358821116243e7,2.0746614937759336e7,551014.5169980554
1.25e8,1.6523620198675497e7,1.5172468325620461e6,1.6520219471947195e7,1.487469873783765e6,3.520204933333333e8,1.1298271795687962e7,2.2148023451327432e7,2.85619383380961e6
1.32651e8,1.7469522377622377e7,1.5162522645698749e6,1.7512724125874124e7,1.4992969750923805e6,3.792102285714286e8,2.021882700502482e7,2.329122930232558e7,799434.8272472661
