sizes_3D,maurer_mean_3D,maurer_std_3D,felzenszwalb_mean_3D,felzenszwalb_std_3D,felzenszwalb_inplace_mean_3D,felzenszwalb_inplace_std_3D,felzenszwalb_threaded_mean_3D,felzenszwalb_threaded_std_3D,felzenszwalb_threaded_mean_3D_depth,felzenszwalb_threaded_std_3D_depth,felzenszwalb_threaded_mean_3D_nonthread,felzenszwalb_threaded_std_3D_nonthread,felzenszwalb_threaded_mean_3D_worksteal,felzenszwalb_threaded_std_3D_worksteal,felzenszwalb_gpu_mean_3D,felzenszwalb_gpu_std_3D,wenbo_inplace_mean_3D,wenbo_inplace_std_3D,wenbo_threaded_mean_3D,wenbo_threaded_std_3D,wenbo_threaded_mean_3D_depth,wenbo_threaded_std_3D_depth,wenbo_threaded_mean_3D_nonthread,wenbo_threaded_std_3D_nonthread,wenbo_threaded_mean_3D_worksteal,wenbo_threaded_std_3D_worksteal,wenbo_gpu_mean_3D,wenbo_gpu_std_3D
1.0,255.36603238866394,1279.8742831213774,882.4179695431471,5679.365981792607,294.30727272727273,1592.8927451101827,66977.13,36116.58827682891,225.73417489421718,26.447466719289967,155.49228929384967,18.751019301251972,5854.95,1206.931288252756,379756.89,437577.5802556642,145.23758620689657,335.2731993589762,116599.71,30391.51370574412,107039.55,37424.18426304407,114746.61,29331.14614401067,137661.68,29476.242441404334,33307.0,402906.26212384173
1331.0,150347.25,66113.26581578907,153573.36,1.094711771236848e6,46001.84,12106.393066876235,99752.65,36275.90943226665,135690.96,126236.90347064985,43366.01,4721.590730019087,483238.97,429550.67854315264,2.2433845945945946e6,3.9615993241479243e6,9304.836666666668,1672.0157007753405,86899.05,31483.412023171226,168728.43,309655.0357427618,1.0150025300958988e6,2.6715828837375254e6,399735.7,210427.7262204443,38748.48,495581.38710287935
9261.0,650844.4767058203,1.7407076501689854e6,1.079949391304348e6,2.94616828528852e6,750611.4540777727,1.9273996117754076e6,444309.63,1.6632880941642919e6,341526.89,662102.5808427903,473346.34,47714.93541974683,641612.9866770146,426827.2704642001,2.476594880715706e6,1.0468955465893236e6,98266.84,13482.697531565142,130284.68,39811.36061152613,231968.85,114492.53945492071,2.0033141824025712e6,3.805934523828036e6,609680.1256002955,1.8061322823635035e6,18611.69,88923.71796717463
32768.0,727955.6880058867,2.0504984460883178e6,3.4153811772758383e6,5.02461543698595e6,1.9674552037989711e6,818210.6961470365,680303.4989023051,1.5509251036836954e6,700254.2901716068,1.4663312269500215e6,1.7305941094941094e6,89180.83317143469,754398.4650455927,1.2666313012207528e6,5.780607558139535e6,1.7398047849829814e6,484593.02,2.1058771874808283e6,236854.88,1.0732871196079352e6,361190.86,2.0160491089121364e6,3.134602826633166e6,2.5351265115724965e6,808549.1442542787,2.098757483467382e6,24875.03,341841.54437055317
74088.0,1.1492921600370028e6,3.4661091453330787e6,7.079618892045454e6,5.751740846101243e6,4.1882595976529755e6,1.072600341457058e6,1.4735419709112495e6,1.6721085052599376e6,1.5390798017348202e6,2.412215976472672e6,3.922866692851532e6,227334.18448823647,1.4627730723955268e6,1.1529318650704755e6,9.664123495145632e6,1.3610964156931217e6,939636.2111215834,1.2558747308831343e6,412597.52,1.7367803550944582e6,654201.7880794702,2.3109609934173594e6,4.214005907172996e6,4.162702845264339e6,1.2272130585040732e6,1.9003914711629653e6,36262.06,430048.3194784801
140608.0,2.0868006666666667e6,4.736187946905338e6,1.3423662634408602e7,9.020342532007618e6,8.2507761983471075e6,2.749990104797747e6,2.614219242902208e6,3.542698304272474e6,2.2825330582301696e6,1.5951825189301164e6,7.433802835820896e6,239011.4791215817,2.246831545741325e6,1.1008514609462703e6,1.4680791764705881e7,2.1173363880935307e6,1.7529902885292047e6,1.1747484310969082e6,692205.5625613002,2.01368885319636e6,901748.378870674,2.070229082764291e6,5.517667627494457e6,4.479688627014125e6,1.5198844247246021e6,1.871422113266545e6,60705.63,986076.7291062456
238328.0,3.4206158981417757e6,5.9037860099233e6,2.294214128440367e7,1.2414366107966188e7,1.4089683661971832e7,3.6025241868986716e6,3.8061795263559967e6,4.317449239830176e6,3.4594649061848507e6,2.2336416078785523e6,1.3215658465608466e7,1.2485753266453145e6,3.5568196721311477e6,1.4220102958272465e6,2.2873569406392694e7,3.0593361838332047e6,2.8765721774193547e6,1.7311374717479865e6,1.0364482536382537e6,2.2760450596058676e6,1.723365110650069e6,3.3225401120879855e6,6.768198782138024e6,5.716449768049692e6,2.02680407000407e6,2.40029373017457e6,92647.86,1.4364038369120618e6
373248.0,4.949971272365805e6,7.267174154300631e6,3.557257304964539e7,1.4983399228993779e7,2.2745816363636363e7,5.430344968818305e6,5.955947544910179e6,6.362626676436078e6,5.273253968253968e6,3.0629885011722054e6,2.271708590909091e7,2.3879234175270475e6,5.477329967069155e6,2.5531441497877655e6,3.232337548387097e7,2.9383513807571847e6,4.286695034246575e6,2.365869695210192e6,1.1778485666903576e6,2.671464705280635e6,1.6587181575433912e6,3.6060919789570775e6,8.015122435897436e6,6.249307367227964e6,2.2657600544711757e6,3.097477891623104e6,148341.86,1.9627349712746453e6
551368.0,9.098395255474452e6,9.159274994887432e6,5.454297717391305e7,1.74265801657723e7,4.791815523809524e7,6.9082638441771725e6,1.2574709319899244e7,9.41421386162235e6,1.2852161282051282e7,7.899628774256911e6,4.154450826446281e7,2.3331259017530815e6,1.0838098915401302e7,3.6724249625061024e6,4.476258214285714e7,1.8881566708173673e6,6.539047450980392e6,2.7318529091746276e6,1.9629954670871107e6,3.06189831692582e6,2.6224323854660345e6,3.6069941519105504e6,1.0011963527054109e7,6.693722079112786e6,3.2188111612903224e6,3.5778892142594107e6,241496.65,3.5452100172326043e6
804357.0,1.2394995781637717e7,1.0510955259585686e7,7.87737046875e7,1.963124567256608e7,4.980448217821782e7,7.450756792372115e6,1.489562886904762e7,1.015032752901298e7,1.0872535729847495e7,3.9001491397399204e6,4.644601481481481e7,1.6565913861640862e6,1.4106576271186441e7,3.8208266922094147e6,6.483672051282051e7,1.2942201149987068e6,9.540827724665392e6,3.4251733768763915e6,2.742669510181618e6,3.6074878882577955e6,3.8138467532467535e6,5.214125560725521e6,1.831722197802198e7,5.53668907033563e6,5.496905298013245e6,4.212825399567685e6,365346.94,5.8973556908196565e6
1.092727e6,1.525196524390244e7,1.2148901180526624e7,1.0532037708333333e8,2.378876675062037e7,7.063748450704226e7,9.43405298073569e6,2.3612544811320756e7,1.1298699269582996e7,1.803290180505415e7,5.545685003444053e6,6.571054935064935e7,2.9942905105789243e6,2.0782941908713695e7,4.471849451712122e6,8.082443709677419e7,1.585110458191114e6,1.8687770411985017e7,4.860917383324336e6,4.936735049504951e6,5.083796135674342e6,7.131949011299435e6,9.081208386852741e6,1.5120845619335348e7,7.122835882734286e6,5.737594942528736e6,4.934824082754159e6,502436.89898989897,9.40237220066787e6
