sizes_2D,edt_mean_2D,edt_std_2D,sedt_mean_2D,sedt_std_2D,sedt_inplace_mean_2D,sedt_inplace_std_2D,sedt_threaded_mean_2D,sedt_threaded_std_2D,sizes_3D,edt_mean_3D,edt_std_3D,sedt_mean_3D,sedt_std_3D,sedt_inplace_mean_3D,sedt_inplace_std_3D,sedt_threaded_mean_3D,sedt_threaded_std_3D
1.0,180.92207066817664,921.0606549488485,221.96360406290955,1087.9471762505998,33.131012072434615,0.8948604581534683,18684.6415,19093.591061839084,1.0,185.00630355097368,925.0368830635505,525.5914770334928,3384.9545112774185,87.53468290422246,241.83129639462913,21977.5665,13794.975773811193
121.0,3432.28431,47956.28722037026,6098.305125,38171.23918529629,1657.36075,88.91104265381259,20453.7641,8597.757978500958,1331.0,97955.6478,377961.52871467895,115099.8277,1.085851829168569e6,32881.2654,1345.503475254907,75843.4409,89260.81861559696
441.0,8266.03906,82373.49428198511,19935.1029,41489.60697687098,5871.3150333333315,146.41786926434065,23585.3915,3275.6856577945055,9261.0,407635.5574,632232.494636612,668028.8304202802,1.147278780304849e6,432237.3604,12967.68820948675,323395.8873,82644.89181778359
961.0,15240.019,2079.169943319767,36187.3245,288578.10682819295,12919.3806,1033.4560204857617,28371.5142,8585.56035957276,29791.0,1.0509160869473685e6,935203.2274792583,2.0788905786189684e6,1.9125540901703746e6,1.5284353663911845e6,17772.576611017823,1.0003283062900641e6,117166.67926817527
1681.0,72791.6512,58857.320104248065,52632.8823,350062.80278281006,27640.8194,3359.9856435610163,33439.9283,16819.836228716238,68921.0,2.318532664189503e6,2.253746183888448e6,5.195701129032258e6,5.107969730259802e6,3.4997385140056023e6,44691.97659870318,2.0263270567721005e6,177292.78447560922
2601.0,94084.5445,351584.5933003384,71018.1585,351513.1553480163,52737.3577,5653.662139402156,77790.5346,10642.103252626654,132651.0,4.114496126853377e6,1.716375875766333e6,8.992193994604317e6,3.5699242157874834e6,6.813846930517711e6,595018.7431438759,3.8897260085603115e6,988716.167592205
3721.0,109530.643,387837.36889133084,111933.0511,544655.9166773674,88880.4325,8025.914672464237,64493.3375,15812.880467336154,226981.0,6.747011520917679e6,1.6849183983631388e6,1.5487015365325077e7,4.518978708369e6,1.1714902524590164e7,173792.2408823457,6.419525406931964e6,919348.7484587297
5041.0,132094.6736,295494.47606091574,174863.7889,525798.5947197564,131817.5976,5112.13810715995,93941.4648,25041.485402960418,357911.0,1.0713837271948608e7,2.1768163442503554e6,2.4395908131707318e7,5.440629462364183e6,1.8524388403703704e7,63589.34613780981,9.854922246062992e6,75301.32922014061
6561.0,182286.4045,372410.22426244686,232422.1896,629719.3809334657,185322.8531,9087.574869767055,125441.4197,27902.84480349566,531441.0,1.5444167836419754e7,2.385600201113929e6,3.71455593037037e7,7.538634952043337e6,2.759484132967033e7,116657.47984061565,1.4690515428152492e7,823175.171564333
8281.0,229652.775,309097.18667384936,298095.3559,653492.4373235095,241796.1152,5571.796919793515,166209.665,33435.5449031846,753571.0,2.182423653275109e7,2.956675096653843e6,5.819068411627907e7,2.3597639768143434e7,3.9822900396825396e7,447762.91536219174,2.1397660243589744e7,408788.3026826678
