sizes_2D,edt_mean_2D,edt_std_2D,sedt_mean_2D,sedt_std_2D,sedt_inplace_mean_2D,sedt_inplace_std_2D,sedt_threaded_mean_2D,sedt_threaded_std_2D,sedt_threaded_mean_2D_depth,sedt_threaded_std_2D_depth,sedt_threaded_mean_2D_nonthread,sedt_threaded_std_2D_nonthread,sedt_threaded_mean_2D_worksteal,sedt_threaded_std_2D_worksteal
1.0,211.26478185279188,785.7171961542666,299.22314651162793,1013.2153050044515,35.172132595573444,1.6781263039043954,52104.1395,61611.41905190627,144.2271178777393,7.426427118194726,57.05004583333333,2.311368914924555,3565.709433333333,4717.068706399693
12544.0,201051.5296,482784.08957500797,487674.1609,746308.0455868298,388651.0667,7885.06734890456,141147.6867,21829.109691925994,182737.5367,41844.539078920745,340179.9757,5385.693666941792,199009.4517,11104.243804695325
49729.0,565903.554192229,720887.5216243865,1.990723603187251e6,1.2943541395754511e6,1.7001633231188287e6,9743.924583955206,539109.5265208919,60862.68147399469,545282.456219178,127795.30730213682,1.484420045508626e6,10269.34606010736,751518.2016262611,119698.57326212793
111556.0,1.120453210195374e6,859289.0845351483,4.7140260254716985e6,2.7175545537703843e6,3.8722157250193646e6,110971.23655503264,1.1912921873061322e6,86873.0803880046,1.1530270302890174e6,157946.41031647733,3.3903906350067845e6,22336.18059538613,1.7060932725409835e6,63613.80067728757
198025.0,2.033688831364562e6,1.0887566709986841e6,8.277323476821192e6,2.801637521055146e6,6.918449715076072e6,37488.42470002364,2.1216452267515925e6,75831.93357231238,2.0057744535958215e6,85201.76630934284,6.036542536231884e6,80924.86924024082,3.066604170552147e6,120915.52239389774
309136.0,3.0404958155812537e6,1.2502664590251674e6,1.3414278262734585e7,4.3495995908720605e6,1.0916135358078603e7,253655.02762002856,3.3950772024456523e6,319340.37448898307,3.269949918140144e6,518835.580079647,9.40926715037594e6,309800.21504249575,4.775616373447946e6,184084.853609573
444889.0,4.453183027629234e6,1.5419143810490225e6,1.9520902782945737e7,5.492575704374627e6,1.6139470948387098e7,449043.47097892413,4.944804083086054e6,196863.8810904707,4.568427123400366e6,191794.9261601945,1.3631520678474115e7,55818.946950585654,7.028025153089887e6,241870.46662883295
605284.0,6.040744604594922e6,1.8511562899018982e6,2.6709450776595745e7,6.361424621317336e6,2.192448870742358e7,105178.44300432075,6.849590047945205e6,261242.97042492454,6.307595648989899e6,207085.17353064648,1.8943661443181816e7,103240.89774822707,9.779370013671875e6,270337.3227978781
790321.0,7.9595356305732485e6,1.8331193409656822e6,3.452833912413793e7,5.757518420114932e6,2.888904958045977e7,101482.79402900174,9.073869537205081e6,337119.59589120996,8.418715232715009e6,354104.52620874543,2.5186763623115577e7,335799.70776070585,1.2926173335917313e7,308025.5364469662
1.0e6,1.0188356987755101e7,1.6961005028878814e6,4.3295088698275864e7,6.627861406604616e6,3.645126118115942e7,284428.8761583281,1.1641496437209303e7,821495.72597281,1.0480084136268344e7,305658.09082474903,3.121936745341615e7,283040.6491048801,1.6093297302250804e7,343999.7795655501
