sizes_2D,maurer_mean_2D,maurer_std_2D,felzenszwalb_mean_2D,felzenszwalb_std_2D,felzenszwalb_inplace_mean_2D,felzenszwalb_inplace_std_2D,felzenszwalb_threaded_mean_2D,felzenszwalb_threaded_std_2D,felzenszwalb_threaded_mean_2D_depth,felzenszwalb_threaded_std_2D_depth,felzenszwalb_threaded_mean_2D_nonthread,felzenszwalb_threaded_std_2D_nonthread,felzenszwalb_threaded_mean_2D_worksteal,felzenszwalb_threaded_std_2D_worksteal,wenbo_inplace_mean_2D,wenbo_inplace_std_2D,wenbo_threaded_mean_2D,wenbo_threaded_std_2D,wenbo_threaded_mean_2D_depth,wenbo_threaded_std_2D_depth,wenbo_threaded_mean_2D_nonthread,wenbo_threaded_std_2D_nonthread,wenbo_threaded_mean_2D_worksteal,wenbo_threaded_std_2D_worksteal
1.0,232.41492298245618,559.7470243300211,427.1052121621621,1619.154683964876,198.2079670918367,498.4068006017394,13687.8145,10067.65726061239,197.91616466973886,196.50314793564593,106.54309066808058,182.48484517721462,2983.8314333333333,17186.89894394943,82.13820431654676,189.47468610586992,17425.125,19619.516579280324,184.82163475177308,186.46547197936874,103.76857326315788,183.53503552324366,3064.9674111111112,16812.565514462585
4489.0,109637.8056,334893.9441312058,172031.5011,435840.76045894576,134677.7541,258903.7419477271,94644.4174,320301.87479920656,93016.6823,22619.316105786136,100260.3246,2970.4112080837144,129938.6745,202680.79371560644,23697.6082,2543.5207364726652,34110.762,16254.82252770841,74579.3558,19199.550449402515,21958.8293,1972.6863684611249,104827.5746,215058.23142033088
17956.0,269735.8448,527020.4734785563,765295.9060824269,835613.7814878173,642393.5841163599,335863.4583044859,284329.3758,518181.3554077177,260360.1433,346341.4885229947,522666.64975364297,184880.15719222368,410036.462,387221.5425467607,171319.0386,284561.6658322393,116409.1777,200914.506644887,147081.8123,281248.6750717276,160796.543,121969.16444810781,171143.349,322362.5978848793
40000.0,483239.3309,680888.8452687203,1.7257121077720206e6,1.2681225651604729e6,1.4891918094812164e6,500947.96236999735,568592.9212598425,580795.9830956911,482097.7376,287336.8503724806,1.247804895776056e6,283322.8813466085,754528.6270597128,305420.6211404947,399546.7563,134484.7419764508,197330.5521,227462.944626644,229633.3411,221100.87257726412,399809.6789,186214.53129094894,298372.2039,342465.72186521674
